Impressão de campos da consulta;;;;;;;;Página: 1;

157;;Pagamento de hospedagens;;Não;
167;;Pagamento almoço/jantar;;Não;
177;;Conversão de Cr$ para CR$;;Não;
183;DESCINSSFOLHA;Desconto INSS s/ folha de pgto;;Não;
187;;Saldo convertido em CR$;;Não;
191;DVLC;Devolução de compras conf. NF nº;;Não;
197;;Transferência para lucros e perdas;;Não;
227;;Folha de pagamento;;Não;
230;EMPRLIG;Empréstimo a empresa ligada;;Não;
237;FGTS;FGTS;;Não;
247;;Pagamento IR sobre honorários;;Não;
248;EMPRESBANC;Empréstimo bancário;;Não;
256;EMPRESTSOCIO;Empréstimo de sócio ref.;;Não;
267;;Pagamento de salários ref.:;;Não;
272;ENTRADASEM;Entradas em;;Não;
307;;Pagamento de * de *;;Não;
317;;Pagamento NF nº;;Não;
367;;Depósito ref.:;;Não;
370;IPIRECUP;IPI a recuperar ref.:;;Não;
427;;Pagamento de INSS ref.:;;Não;
437;;Pagamento de FGTS ref.:;;Não;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 4;

Código;Apelido;Nome;;Pula complemento;
442;PGTOCOFINS;Pagamento de cofins ref.:;;Não;
447;;Pagamento de PIS ref.:;;Não;
450;;Valor ref. recebimento vales;;Não;
451;;Valor ref. recebimento ordem frete cliente;;Não;
460;;Valor ref. emissão de vale;;Não;
467;;Pagamento ISQN ref.:;;Não;
478;;Recebimento de clientes cfe NF nº;;Não;
497;;Pagamento de pró-labore ref.:;;Não;
507;;Conversão de CR$ para R$;;Não;
517;;Saldo convertido em R$;;Não;
531;PGTOJUROSDUPL;Pagamento juros sobre duplicata;;Não;
537;;Pagamento de duplicata * fornec. *D;;Não;
582;;Depreciação do período;;Não;
604;65;Empréstimos a funcionários;;Não;
612;164;Aviso prévio não cumprido e art. 479;;Não;
620;165;Desconto ligações telefônicas;;Não;
639;193;IRRF sobre férias;;Não;
647;201;Contr. sindical a pagar;;Não;
655;203;INSS descontado sobre férias;;Não;
663;204;Salário família ref.:;;Não;
671;206;Folha de pagamento a pagar;;Não;
680;214;Pró-labore a pagar;;Não;
701;COMVEN;Comissões sobre vendas;;Não;
710;;Valor depósito no dia;;Sim;
728;236;Pagamento de saldo de salário;;Não;
736;275;Desconto empréstimo concedido;;Não;
744;280;IRRF sobre adiantamento de salário;;Não;
752;281;Provisão de férias ref.:;;Não;
760;283;Provisão de 13º salário ref.:;;Não;
779;284;Reversão da provisão de 13º salário ref. período anterior;;Não;
780;SEC;Valor serviços cfe ECF nº;;Não;
787;287;Reversão da provisão de férias ref. período anterior;;Não;
